tiff_format 	 TFF_FRMT
tiff_specification 	 TFF_SPCCTN
tiger 	 TGR
tiger_cub 	 TGR_CB
tiger_lily 	 TGR_LLY
tiger_nut 	 TGR_NT
tiger_salamander 	 TGR_SLMNDR
tiger_shark 	 TGR_SHRK
tiger_slam 	 TGR_SLM
tiger_snake 	 TGR_SNK
tigerish 	 TGRSH
tigernach 	 TGRNCH
tigernach_record 	 TGRNCH_RCRD
tigerstar 	 TGRSTR
tight 	 TGHT
tight_end_colin 	 TGHT_END_CLN
tight_fitting_lid 	 TGHT_FTTNG_LD
tight_hairpin 	 TGHT_HRPN
tight_pants 	 TGHT_PNTS
tight_schedule 	 TGHT_SCHDL
tight_shoe 	 TGHT_SH
tight_spiral 	 TGHT_SPRL
tighten 	 TGHTN
tighter_scrutiny 	 TGHTR_SCRTNY
tightly_shut 	 TGHTLY_SHT
tightly_woven 	 TGHTLY_WVN
tightrope_walker 	 TGHTRP_WLKR
tights 	 TGHTS
tigra 	 TGR
tigre_blanco 	 TGR_BLNC
tigullio 	 TGLL
tihkal 	 THKL
tik 	 TK
tike 	 TK
tiki 	 TK
tiki_bar 	 TK_BR
tiki_culture 	 TK_CLTR
tile 	 TL
tile_floor 	 TL_FLR
tile_grout 	 TL_GRT
tile_roof 	 TL_RF
tile_wall 	 TL_WLL
tiled_bathroom 	 TLD_BTHRM
tiled_floor 	 TLD_FLR
tilia_cordata 	 TL_CRDT
tiling 	 TLNG
tillage 	 TLLG
tillage_equipment 	 TLLG_EQPMNT
tillage_implement 	 TLLG_IMPMNT
tillamook_bay_railroad 	 TLLMK_BY_RLRD
tilled_land 	 TLLD_LND
tilt 	 TLT
tilt_shift 	 TLT_SHFT
tilt_steering_column 	 TLT_STRNG_CLMN
tilted_heavily 	 TLTD_HVLY
tilting 	 TLTNG
timber 	 TMBR
timber_extraction 	 TMBR_EXTCTN
timber_hitch 	 TMBR_HTCH
timber_joinery 	 TMBR_JNRY
timber_lattice 	 TMBR_LTTC
timber_merchant 	 TMBR_MRCHNT
timber_stair 	 TMBR_STR
timber_staircase 	 TMBR_STRCS
timber_timbre 	 TMBR_TMBR
timberland 	 TMBLND
timbral 	 TMBRL
timbre 	 TMBR
time 	 TM
time-consuming 	 TM-MNG
time-intensive 	 TM-NSV
time-release 	 TM-RLS
time-released 	 TM-LSD
time_amount 	 TM_AMNT
time_consume 	 TM_CNSM
time_consuming_litigation 	 TM_CNSMNG_LTGTN
time_consuming_task 	 TM_CNSMNG_TSK
time_day 	 TM_DY
time_description 	 TM_DSCPTN
time_designation 	 TM_DSGNTN
time_dilation 	 TM_DLTN
time_effort 	 TM_EFFRT
time_equivalent_fte 	 TM_EQVLNT_FT
time_event 	 TM_EVNT
time_frame 	 TM_FRM
time_increment 	 TM_INCMNT
time_interval 	 TM_INTRVL
time_lag 	 TM_LG
time_length 	 TM_LNGTH
time_limit 	 TM_LMT
time_loop 	 TM_LP
time_measure 	 TM_MSR
time_measurement 	 TM_MSRMNT
time_off 	 TM_OFF
time_olympian 	 TM_OLYMPN
time_out 	 TM_OT
time_paralympic_sprint 	 TM_PRLMPC_SPRNT
time_pass 	 TM_PSS
time_period 	 TM_PRD
time_protocol_ptp 	 TM_PRTCL_PTP
time_race 	 TM_RC
time_reference 	 TM_RFRNC
time_relax 	 TM_RLX
time_rest 	 TM_RST
time_runner 	 TM_RNNR
time_saver 	 TM_SVR
time_series 	 TM_SRS
time_test 	 TM_TST
time_think 	 TM_THNK
time_tracker 	 TM_TRCKR
time_up 	 TM_UP
time_via_loadmodule 	 TM_V_LDMDL
time_waste 	 TM_WST
time_waster 	 TM_WSTR
time_waster_class 	 TM_WSTR_CLSS
timebase 	 TMBS
timecode 	 TMCD
timed-release 	 TMDRLS
timed_fuse 	 TMD_FS
timeframe 	 TMFRM
timekeep 	 TMKP
timekeeper 	 TMKPR
timekeeping_mechanism 	 TMKPNG_MCHNSM
timeless 	 TMLSS
timeless_tale 	 TMLSS_TL
timeliness 	 TMLNSS
timely 	 TMLY
timely_completion 	 TMLY_CMPLTN
timely_disclosure 	 TMLY_DSCLSR
timely_payment 	 TMLY_PYMNT
timeout 	 TMT
timepiece 	 TMPC
timer_interrupt 	 TMR_INTRPT
times_delphic 	 TMS_DLPHC
times_dimmer 	 TMS_DMMR
times_literary_supplement 	 TMS_LTRRY_SPPMNT
times_picayune 	 TMS_PCYN
times_picayune_newspaper 	 TMS_PCYN_NWSPPR
timescales 	 TMSCLS
timestamp 	 TMSTMP
timetable 	 TMTBL
timid 	 TMD
timidity 	 TMDTY
timidly 	 TMDLY
timidness 	 TMDNSS
timing 	 TMNG
timing_jitter 	 TMNG_JTTR
timing_skew 	 TMNG_SKW
timocracy 	 TMCRCY
timolol 	 TMLL
timorous 	 TMRS
timorousation 	 TMRSTN
timorously 	 TMRSLY
timorousness 	 TMRNSS
tin 	 TN
tin_aluminium 	 TN_ALMNM
tin_box 	 TN_BX
tin_ear 	 TN_ER
tin_foil 	 TN_FL
tin_glaze 	 TN_GLZ
tin_glazed_earthenware 	 TN_GLZD_ERTNWR
tin_myo_win 	 TN_MY_WN
tin_oxide 	 TN_OXD
tin_roof 	 TN_RF
tinctoria 	 TNCTR
tinea 	 TN
tinea_pedis 	 TN_PDS
tinea_versicolor 	 TN_VRSCLR
tinfoil 	 TNFL
tinge 	 TNG
tingle 	 TNGL
tingling 	 TNGLNG
tingly 	 TNGLY
tinier 	 TNR
tiniest 	 TNST
tinker_bell 	 TNKR_BLL
tinkerbell 	 TNKBLL
tinkling_sound 	 TNKLNG_SND
tinned_food 	 TNND_FD
tinnitus 	 TNNTS
tinny 	 TNNY
tino_best 	 TN_BST
tino_buazzelli_nero_wolfe 	 TN_BZZLL_NR_WLF
tinsel 	 TNSL
tinsmith 	 TNSMTH
tint 	 TNT
tinted_moisturiser 	 TNTD_MSTRSR
tinted_moisturizer 	 TNTD_MSTRZR
tinware 	 TNWR
tiny 	 TNY
tiny_amount 	 TNY_AMNT
tiny_animal 	 TNY_ANML
tiny_apartment 	 TNY_APRMNT
tiny_balloon 	 TNY_BLLN
tiny_dot 	 TNY_DT
tiny_fraction 	 TNY_FRCTN
tiny_incision 	 TNY_INCSN
tiny_insect 	 TNY_INSCT
tiny_organism 	 TNY_ORGNSM
tiny_particle 	 TNY_PRTCL
tiny_person 	 TNY_PRSN
tiny_speck 	 TNY_SPCK
tip 	 TP
tip_blight 	 TP_BLGHT
tip_oneill 	 TP_ONLL
tip_pen 	 TP_PN
tip_sheet 	 TP_SHT
tip_waiter 	 TP_WTR
tip_waitress 	 TP_WTRSS
tipped_cane 	 TPPD_CN
tipped_off 	 TPPD_OFF
tipped_tail 	 TPPD_TL
tippy 	 TPPY
tipranavir 	 TPRNVR
tipsiness 	 TPSNSS
tipsy 	 TPSY
tiptoe 	 TPT
tira_cradle 	 TR_CRDL
tirade 	 TRD
tirade_against 	 TRD_AGNST
tirades_against 	 TRDS_AGNST
tiramisu 	 TRMS
tire 	 TR
tire_barrier 	 TR_BRRR
tire_blowout 	 TR_BLWT
tire_iron 	 TR_IRN
tire_out 	 TR_OT
tire_pile 	 TR_PL
tire_puncture 	 TR_PNCTR
tire_shop 	 TR_SHP
tired 	 TRD
tired_eye 	 TRD_EY
tired_foot 	 TRD_FT
tired_iron 	 TRD_IRN
tired_leg 	 TRD_LG
tired_of 	 TRD_OF
tired_person 	 TRD_PRSN
tiredness 	 TRDNSS
tireless 	 TRLSS
tireless_advocate 	 TRLSS_ADVCT
tireless_work_ethic 	 TRLSS_WRK_ETHC
tireless_worker 	 TRLSS_WRKR
tirelessly 	 TRLSLY
tiresome 	 TRSM
tiresomely 	 TRSMLY
tiring 	 TRNG
tiro 	 TR
tirthankara 	 TRTNKR
tissue 	 TSS
tissue_expander 	 TSS_EXPNDR
tissue_layer 	 TSS_LYR
tissue_paper 	 TSS_PPR
tissue_perfusion 	 TSS_PRFSN
