tiff_format 	 TF_FRMT
tiff_specification 	 TF_SPSFKXN
tiger 	 TJR
tiger_cub 	 TJR_KB
tiger_lily 	 TJR_LL
tiger_nut 	 TJR_NT
tiger_salamander 	 TJR_SLMNTR
tiger_shark 	 TJR_XRK
tiger_slam 	 TJR_SLM
tiger_snake 	 TJR_SNK
tigerish 	 TJRX
tigernach 	 TJRNX
tigernach_record 	 TJRNX_RKRT
tigerstar 	 TJRSTR
tight 	 TT
tight_end_colin 	 TT_ENT_KLN
tight_fitting_lid 	 TT_FTNK_LT
tight_hairpin 	 TT_HRPN
tight_pants 	 TT_PNTS
tight_schedule 	 TT_SXTL
tight_shoe 	 TT_X
tight_spiral 	 TT_SPRL
tighten 	 TTN
tighter_scrutiny 	 TTR_SKRTN
tightly_shut 	 TTL_XT
tightly_woven 	 TTL_WFN
tightrope_walker 	 TTRP_WLKR
tights 	 TTS
tigra 	 TKR
tigre_blanco 	 TKR_BLNK
tigullio 	 TKL
tihkal 	 TKL
tik 	 TK
tike 	 TK
tiki 	 TK
tiki_bar 	 TK_BR
tiki_culture 	 TK_KLTR
tile 	 TL
tile_floor 	 TL_FLR
tile_grout 	 TL_KRT
tile_roof 	 TL_RF
tile_wall 	 TL_WL
tiled_bathroom 	 TLT_B0RM
tiled_floor 	 TLT_FLR
tilia_cordata 	 TL_KRTT
tiling 	 TLNK
tillage 	 TLJ
tillage_equipment 	 TLJ_EKPMNT
tillage_implement 	 TLJ_IMPLMNT
tillamook_bay_railroad 	 TLMK_B_RLRT
tilled_land 	 TLT_LNT
tilt 	 TLT
tilt_shift 	 TLT_XFT
tilt_steering_column 	 TLT_STRNK_KLMN
tilted_heavily 	 TLTT_HFL
tilting 	 TLTNK
timber 	 TMBR
timber_extraction 	 TMBR_EKSTRKXN
timber_hitch 	 TMBR_HX
timber_joinery 	 TMBR_JNR
timber_lattice 	 TMBR_LTS
timber_merchant 	 TMBR_MRXNT
timber_stair 	 TMBR_STR
timber_staircase 	 TMBR_STRKS
timber_timbre 	 TMBR_TMBR
timberland 	 TMBRLNT
timbral 	 TMBRL
timbre 	 TMBR
time 	 TM
time-consuming 	 TMKNSMNK
time-intensive 	 TMNTNSF
time-release 	 TMRLS
time-released 	 TMRLST
time_amount 	 TM_AMNT
time_consume 	 TM_KNSM
time_consuming_litigation 	 TM_KNSMNK_LTKXN
time_consuming_task 	 TM_KNSMNK_TSK
time_day 	 TM_T
time_description 	 TM_TSKRPXN
time_designation 	 TM_TSNXN
time_dilation 	 TM_TLXN
time_effort 	 TM_EFRT
time_equivalent_fte 	 TM_EKFLNT_FT
time_event 	 TM_EFNT
time_frame 	 TM_FRM
time_increment 	 TM_INKRMNT
time_interval 	 TM_INTRFL
time_lag 	 TM_LK
time_length 	 TM_LNK0
time_limit 	 TM_LMT
time_loop 	 TM_LP
time_measure 	 TM_MSR
time_measurement 	 TM_MSRMNT
time_off 	 TM_OF
time_olympian 	 TM_OLMPN
time_out 	 TM_OT
time_paralympic_sprint 	 TM_PRLMPK_SPRNT
time_pass 	 TM_PS
time_period 	 TM_PRT
time_protocol_ptp 	 TM_PRTKL_PTP
time_race 	 TM_RS
time_reference 	 TM_RFRNS
time_relax 	 TM_RLKS
time_rest 	 TM_RST
time_runner 	 TM_RNR
time_saver 	 TM_SFR
time_series 	 TM_SRS
time_test 	 TM_TST
time_think 	 TM_0NK
time_tracker 	 TM_TRKR
time_up 	 TM_UP
time_via_loadmodule 	 TM_F_LTMTL
time_waste 	 TM_WST
time_waster 	 TM_WSTR
time_waster_class 	 TM_WSTR_KLS
timebase 	 TMBS
timecode 	 TMKT
timed-release 	 TMTRLS
timed_fuse 	 TMT_FS
timeframe 	 TMFRM
timekeep 	 TMKP
timekeeper 	 TMKPR
timekeeping_mechanism 	 TMKPNK_MXNSM
timeless 	 TMLS
timeless_tale 	 TMLS_TL
timeliness 	 TMLNS
timely 	 TML
timely_completion 	 TML_KMPLXN
timely_disclosure 	 TML_TSKLSR
timely_payment 	 TML_PMNT
timeout 	 TMT
timepiece 	 TMPS
timer_interrupt 	 TMR_INTRPT
times_delphic 	 TMS_TLFK
times_dimmer 	 TMS_TMR
times_literary_supplement 	 TMS_LTRR_SPLMNT
times_picayune 	 TMS_PKYN
times_picayune_newspaper 	 TMS_PKYN_NSPPR
timescales 	 TMSKLS
timestamp 	 TMSTMP
timetable 	 TMTBL
timid 	 TMT
timidity 	 TMTT
timidly 	 TMTL
