CONCEPT 	 Soundex 	 Metaphone
a_little 	 A000_L340 	 A_LTL
a_little_hungry 	 A000_L340_H526 	 A_LTL_HNKR
a_little_specific 	 A000_L340_S121 	 A_LTL_SPSFK
a_lot 	 A000_L300 	 A_LT
a_lot_of_books 	 A000_L300_O100_B200 	 A_LT_OF_BKS
a_lot_of_energy 	 A000_L300_O100_E562 	 A_LT_OF_ENRJ
a_lot_of_fat 	 A000_L300_O100_F300 	 A_LT_OF_FT
a_lot_of_flowers 	 A000_L300_O100_F462 	 A_LT_OF_FLWRS
a_lot_of_food 	 A000_L300_O100_F300 	 A_LT_OF_FT
a_lot_of_fun 	 A000_L300_O100_F500 	 A_LT_OF_FN
a_lot_of_information 	 A000_L300_O100_I516 	 A_LT_OF_INFRMXN
a_lot_of_money 	 A000_L300_O100_M500 	 A_LT_OF_MN
a_lot_of_noise 	 A000_L300_O100_N200 	 A_LT_OF_NS
a_lot_of_people 	 A000_L300_O100_P140 	 A_LT_OF_PPL
a_lot_of_practice 	 A000_L300_O100_P623 	 A_LT_OF_PRKTS
a_lot_of_sex 	 A000_L300_O100_S200 	 A_LT_OF_SKS
a_lot_of_space 	 A000_L300_O100_S120 	 A_LT_OF_SPS
a_lot_of_stress 	 A000_L300_O100_S362 	 A_LT_OF_STRS
a_lot_of_study 	 A000_L300_O100_S330 	 A_LT_OF_STT
a_lot_of_time 	 A000_L300_O100_T500 	 A_LT_OF_TM
a_lot_of_work 	 A000_L300_O100_W620 	 A_LT_OF_WRK
aa_gill 	 A000_G400 	 _JL
aa_gun 	 A000_G500 	 _KN
abandon 	 A153 	 ABNTN
abandoned 	 A153 	 ABNTNT
abandoned_person 	 A153_P625 	 ABNTNT_PRSN
abandoned_quarry 	 A153_Q600 	 ABNTNT_KR
abandonment 	 A153 	 ABNTNMNT
abase 	 A120 	 ABS
abasement 	 A125 	 ABSMNT
abash 	 A120 	 ABX
abashed 	 A123 	 ABXT
abashment 	 A125 	 ABXMNT
abasia 	 A120 	 ABX
abate 	 A130 	 ABT
abatement 	 A135 	 ABTMNT
abattoir 	 A136 	 ABTR
abaxial_surface 	 A124_S612 	 ABKSL_SRFS
abaxially 	 A124 	 ABKSL
abba_kovner 	 A100_K156 	 AB_KFNR
abbandono 	 A153 	 ABNTN
abbreviate 	 A161 	 ABRFT
abc 	 A120 	 ABK
abc_dancing_with 	 A120_D525_W300 	 ABK_TNSNK_W0
abc_drama 	 A120_D650 	 ABK_TRM
abc_paramount 	 A120_P655 	 ABK_PRMNT
abc_television 	 A120_T412 	 ABK_TLFXN
abc_tv 	 A120_T100 	 ABK_TF
abdel 	 A134 	 ABTL
abdicate 	 A132 	 ABTKT
abdication 	 A132 	 ABTKXN
abdomen 	 A135 	 ABTMN
abdominal 	 A135 	 ABTMNL
