CONCEPT 	 C521
a_little 	 A000_L340
a_little_hungry 	 A000_L340_H526
a_little_specific 	 A000_L340_S121
a_lot 	 A000_L300
a_lot_of_books 	 A000_L300_O100_B200
a_lot_of_energy 	 A000_L300_O100_E562
a_lot_of_fat 	 A000_L300_O100_F300
a_lot_of_flowers 	 A000_L300_O100_F462
a_lot_of_food 	 A000_L300_O100_F300
a_lot_of_fun 	 A000_L300_O100_F500
a_lot_of_information 	 A000_L300_O100_I516
a_lot_of_money 	 A000_L300_O100_M500
a_lot_of_noise 	 A000_L300_O100_N200
a_lot_of_people 	 A000_L300_O100_P140
a_lot_of_practice 	 A000_L300_O100_P623
a_lot_of_sex 	 A000_L300_O100_S200
a_lot_of_space 	 A000_L300_O100_S120
a_lot_of_stress 	 A000_L300_O100_S362
a_lot_of_study 	 A000_L300_O100_S330
a_lot_of_time 	 A000_L300_O100_T500
a_lot_of_work 	 A000_L300_O100_W620
aa_gill 	 A000_G400
aa_gun 	 A000_G500
abandon 	 A153
abandoned 	 A153
abandoned_person 	 A153_P625
abandoned_quarry 	 A153_Q600
abandonment 	 A153
abase 	 A120
abasement 	 A125
abash 	 A120
abashed 	 A123
abashment 	 A125
abasia 	 A120
abate 	 A130
abatement 	 A135
abattoir 	 A136
abaxial_surface 	 A124_S612
abaxially 	 A124
abba_kovner 	 A100_K156
abbandono 	 A153
abbreviate 	 A161
abc 	 A120
abc_dancing_with 	 A120_D525_W300
abc_drama 	 A120_D650
abc_paramount 	 A120_P655
abc_television 	 A120_T412
abc_tv 	 A120_T100
abdel 	 A134
abdicate 	 A132
abdication 	 A132
abdomen 	 A135
abdominal 	 A135
abdominal_aortic 	 A135_A632
abdominal_cavity 	 A135_C130
abdominal_discomfort 	 A135_D251
abdominal_distension 	 A135_D235
abdominal_distention 	 A135_D235
abdominal_ectopic_gestation 	 A135_E231_G233
abdominal_incision 	 A135_I522
abdominal_muscle 	 A135_M240
abdominal_pain 	 A135_P500
abdominal_pregnancy 	 A135_P625
abdominal_viscera 	 A135_V260
abdominal_wall 	 A135_W400
abdominoplasty 	 A135
abducens_nerve 	 A132_N610
abduct 	 A132
abduction 	 A132
abductor 	 A132
abductor_digiti_minimi 	 A132_D230_M550
abductor_muscle 	 A132_M240
abelisauridae 	 A142
aberdeen_angus_cattle 	 A163_A522_C340
aberrance 	 A165
aberrancy 	 A165
aberrant 	 A165
aberrantly 	 A165
aberration 	 A163
abetalipoproteinemia 	 A134
abhominable 	 A155
abhor 	 A160
abhorrence 	 A165
abhorrent 	 A165
abhorreth 	 A163
abidance 	 A135
abide 	 A130
abide_by 	 A130_B000
abided_by 	 A133_B000
abideth 	 A133
abiding_love 	 A135_L100
abience 	 A152
ability 	 A143
ability_communicate 	 A143_C552
ability_hear 	 A143_H600
ability_read 	 A143_R300
ability_see 	 A143_S000
abimelech 	 A154
abject 	 A122
abject_misery 	 A122_M260
abject_poverty 	 A122_P163
abjection 	 A122
abjectly 	 A122
abjure 	 A126
ablate 	 A143
ablate_down 	 A143_D500
ablate_off 	 A143_O100
ablate_out 	 A143_O300
ablate_thin 	 A143_T500
ablaut 	 A143
ablaze 	 A142
able 	 A140
able_eat 	 A140_E300
able_hear 	 A140_H600
able_read 	 A140_R300
able_run 	 A140_R500
able_see 	 A140_S000
able_use 	 A140_U200
ablest 	 A142
ablution 	 A143
abnegate 	 A152
abnormal 	 A156
abnormal_bone 	 A156_B500
abnormal_brain 	 A156_B650
abnormal_cardiac 	 A156_C632
abnormal_curvature 	 A156_C613
abnormal_enlargement 	 A156_E546
abnormal_gait 	 A156_G300
abnormal_gene 	 A156_G500
abnormal_heart_rhythm 	 A156_H630_R350
abnormal_lipid 	 A156_L130
abnormal_liver_function 	 A156_L160_F523
abnormal_posture 	 A156_P236
abnormal_prion 	 A156_P650
abnormal_rhythm 	 A156_R350
abnormalcy 	 A156
abnormality 	 A156
abnormally_prominent 	 A156_P655
abnormally_short 	 A156_S630
abnormally_thick 	 A156_T200
abode 	 A130
aboleth 	 A143
abolish 	 A142
abolish_capital_punishment 	 A142_C134_P525
abolished_capital_punishment 	 A142_C134_P525
abolished_corporal_punishment 	 A142_C616_P525
abolishing_capital_punishment 	 A142_C134_P525
abolition 	 A143
abomasum 	 A152
abominable 	 A155
abominable_snowman 	 A155_S555
abominably 	 A155
abominate 	 A155
abomination 	 A155
abominator 	 A155
aboot 	 A130
aboriginal 	 A162
aboriginal_youth 	 A162_Y300
abort 	 A163
abortion 	 A163
abortion_ban 	 A163_B500
abortion_jurisprudence 	 A163_J621
abortionist 	 A163
abortive 	 A163
abortus 	 A163
abound 	 A153
above 	 A110
above_all 	 A110_A400
above_average_rainfall 	 A110_A162_R514
above_earth 	 A110_E630
above_leg 	 A110_L200
above_reproach 	 A110_R162
abowte 	 A130
abracadabra 	 A162
abrade 	 A163
abrasion 	 A162
abrasion_resistance 	 A162_R223
abrasion_resistant 	 A162_R223
abrasive 	 A162
abrasively 	 A162
abreaction 	 A162
abridge 	 A163
abridgement 	 A163
abroad 	 A163
abrogate 	 A162
abrogation 	 A162
abrupt 	 A161
abrupt_departure 	 A161_D163
abrupt_drop 	 A161_D610
abrupt_onset 	 A161_O523
abrupt_resignation 	 A161_R225
abruptio_placenta 	 A161_P425
abruptly 	 A161
abruptness 	 A161
abs_plastic 	 A120_P423
abscess_cavity 	 A122_C130
abscess_formation 	 A122_F653
abscessed 	 A122
abscisic_acid 	 A122_A230
abscission 	 A122
abscond 	 A125
abseil 	 A124
absence 	 A125
absence_of_communication 	 A125_O100_C552
absence_of_danger 	 A125_O100_D526
absence_of_light 	 A125_O100_L230
absence_of_risk 	 A125_O100_R200
absence_seizure 	 A125_S260
absent 	 A125
absent-minded 	 A125
absentee 	 A125
absenteeism 	 A125
absently 	 A125
absolute 	 A124
absolute_accuracy 	 A124_A262
absolute_alcohol 	 A124_A424
absolute_discretion 	 A124_D263
absolute_dominion 	 A124_D555
absolute_equality 	 A124_E243
absolute_idealism 	 A124_I342
absolute_immunity 	 A124_I553
absolute_joy 	 A124_J000
absolute_liability 	 A124_L143
absolute_loyalty 	 A124_L430
absolute_monarch 	 A124_M562
absolute_monarchy 	 A124_M562
absolute_necessity 	 A124_N223
absolute_negativity 	 A124_N231
absolute_nonsense 	 A124_N525
absolute_perfection 	 A124_P612
absolute_pitch 	 A124_P320
absolute_power 	 A124_P600
absolute_prohibition 	 A124_P613
absolute_refractory_period 	 A124_R162_P630
absolute_rubbish 	 A124_R120
absolute_ruler 	 A124_R460
absolute_silence 	 A124_S452
absolute_truth 	 A124_T630
absolute_value 	 A124_V400
absolute_veto 	 A124_V300
absolute_vodka 	 A124_V320
absolutely 	 A124
absolutely_brilliant 	 A124_B645
absolutely_clear 	 A124_C460
absolutely_critical 	 A124_C632
absolutely_crucial 	 A124_C624
absolutely_essential 	 A124_E253
absolutely_false 	 A124_F420
absolutely_fantastic 	 A124_F532
absolutely_impossible 	 A124_I512
absolutely_incapable 	 A124_I521
absolutely_necessary 	 A124_N226
absolutely_perfect 	 A124_P612
absolutely_stunning 	 A124_S355
absolutely_vital 	 A124_V340
absolutely_wonderful 	 A124_W536
absolution 	 A124
absolutism 	 A124
absolutist 	 A124
absolutist_rule 	 A124_R400
absolutive 	 A124
absolve 	 A124
absolved 	 A124
absolvitory 	 A124
absorb 	 A126
absorb_carbon_dioxide 	 A126_C615_D230
absorb_heat 	 A126_H300
absorb_information 	 A126_I516
absorb_moisture 	 A126_M236
absorb_oxygen 	 A126_O225
absorb_water 	 A126_W360
absorbable_suture 	 A126_S360
absorbent 	 A126
absorbent_cotton 	 A126_C350
absorbent_paper 	 A126_P160
absorbing 	 A126
absorbing_carbon_dioxide 	 A126_C615_D230
absorbs_moisture 	 A126_M236
absorption 	 A126
abstain_from 	 A123_F650
abstaining_from 	 A123_F650
abstemious 	 A123
abstemiousal 	 A123
abstemiousness 	 A123
abstention 	 A123
absterge 	 A123
abstinance 	 A123
abstinence 	 A123
abstinence_education 	 A123_E323
abstinence_only 	 A123_O540
abstinent 	 A123
abstract 	 A123
abstract_mathematical 	 A123_M353
abstract_think 	 A123_T520
abstract_thought 	 A123_T230
abstraction 	 A123
abstractionism 	 A123
abstractly 	 A123
abstruse 	 A123
abstruseness 	 A123
abstrusity 	 A123
absurd 	 A126
absurdism 	 A126
absurdist 	 A126
absurdist_comedy 	 A126_C530
absurdist_humor 	 A126_H560
absurdity 	 A126
absurdly 	 A126
abugida 	 A123
abundance 	 A153
abundant 	 A153
abundant_fruit 	 A153_F630
abundant_wildlife 	 A153_W434
abundantly 	 A153
